Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
04/20/2022,ProShares UltraPro Short QQQ,SQQQ,39.4713,37.7818,4.47173,1.6895,72100.55,2845902320.8011
04/19/2022,ProShares UltraPro Short QQQ,SQQQ,37.7818,40.3953,-6.46981,-2.6135,71300.55,2693863006.6446
04/18/2022,ProShares UltraPro Short QQQ,SQQQ,40.3953,40.5506,-0.38298,-0.1553,72200.55,2916562756.2291
04/14/2022,ProShares UltraPro Short QQQ,SQQQ,40.5506,37.9541,6.84116,2.5965,73350.55,2974408691.1782
04/13/2022,ProShares UltraPro Short QQQ,SQQQ,37.9541,40.3557,-5.95108,-2.4016,74500.55,2827601210.8927
04/12/2022,ProShares UltraPro Short QQQ,SQQQ,40.3557,39.9249,1.07903,0.4308,76600.55,3091268694.5679
04/11/2022,ProShares UltraPro Short QQQ,SQQQ,39.9249,37.2971,7.04559,2.6278,77800.55,3106179058.9203
04/08/2022,ProShares UltraPro Short QQQ,SQQQ,37.2971,35.7864,4.22144,1.5107,79750.55,2974464126.5137
04/07/2022,ProShares UltraPro Short QQQ,SQQQ,35.7864,36.0269,-0.66756,-0.2405,81750.55,2925557775.1608
04/06/2022,ProShares UltraPro Short QQQ,SQQQ,36.0269,33.8238,6.51346,2.2031,83050.55,2992053751.7143
04/05/2022,ProShares UltraPro Short QQQ,SQQQ,33.8238,31.7155,6.64754,2.1083,85700.55,2898718161.6186
04/04/2022,ProShares UltraPro Short QQQ,SQQQ,31.7155,33.7507,-6.03010,-2.0352,85100.55,2699006398.3785
04/01/2022,ProShares UltraPro Short QQQ,SQQQ,33.7507,33.8944,-0.42396,-0.1437,85300.55,2878953171.6329
03/31/2022,ProShares UltraPro Short QQQ,SQQQ,33.8944,32.393,4.63495,1.5014,87400.55,2962389100.2368
03/30/2022,ProShares UltraPro Short QQQ,SQQQ,32.393,31.3589,3.29763,1.0341,87550.55,2836024868.971
03/29/2022,ProShares UltraPro Short QQQ,SQQQ,31.3589,33.0233,-5.04008,-1.6644,86200.55,2703154333.3183
03/28/2022,ProShares UltraPro Short QQQ,SQQQ,33.0233,34.666,-4.73865,-1.6427,78300.55,2585742453.7451
03/25/2022,ProShares UltraPro Short QQQ,SQQQ,34.666,34.5887,0.22348,0.0773,77250.55,2677967462.302
03/24/2022,ProShares UltraPro Short QQQ,SQQQ,34.5887,37.0311,-6.59554,-2.4424,76500.55,2646054470.0189
03/23/2022,ProShares UltraPro Short QQQ,SQQQ,37.0311,35.5246,4.24072,1.5065,76250.55,2823641631.0117
03/22/2022,ProShares UltraPro Short QQQ,SQQQ,35.5246,37.7155,-5.80902,-2.1909,74350.55,2641273441.9562
03/21/2022,ProShares UltraPro Short QQQ,SQQQ,37.7155,37.3913,0.86705,0.3242,72500.55,2734394380.3785
03/18/2022,ProShares UltraPro Short QQQ,SQQQ,37.3913,39.9494,-6.40335,-2.5581,67200.55,2512715813.0411
03/17/2022,ProShares UltraPro Short QQQ,SQQQ,39.9494,41.3843,-3.46726,-1.4349,61150.55,2442927662.3218
